datetime,address,c,h,l,o,type,v
2024-12-04 07:40:00,5hWP5LAkB2FWm5uJh4t4oER9F83QXXAuNWmW4jfS3bNT,1.9254136111307172e-12,1.9254136111307172e-12,9.484776854155354e-13,9.484776854155354e-13,5m,4577784488770682.0
2024-12-04 07:45:00,5hWP5LAkB2FWm5uJh4t4oER9F83QXXAuNWmW4jfS3bNT,2.198147019255578e-12,2.833825819502118e-12,1.812044471008823e-12,1.9254136111307172e-12,5m,5057408793843565.0
2024-12-04 07:50:00,5hWP5LAkB2FWm5uJh4t4oER9F83QXXAuNWmW4jfS3bNT,1.8781244911035835e-12,2.5661527676255434e-12,1.7609749365607557e-12,2.198147019255578e-12,5m,1826862936320426.8
2024-12-04 07:55:00,5hWP5LAkB2FWm5uJh4t4oER9F83QXXAuNWmW4jfS3bNT,2.3095670109110916e-12,2.3095670109110916e-12,1.8781244911035835e-12,1.8781244911035835e-12,5m,624243417433641.4
2024-12-04 08:00:00,5hWP5LAkB2FWm5uJh4t4oER9F83QXXAuNWmW4jfS3bNT,4.3265517201775404e-12,4.460873124343118e-12,2.3095670109110916e-12,2.3095670109110916e-12,5m,2900638017086846.0
2024-12-04 08:05:00,5hWP5LAkB2FWm5uJh4t4oER9F83QXXAuNWmW4jfS3bNT,3.7511620714040265e-12,4.328607959204612e-12,3.7511620714040265e-12,4.3265517201775404e-12,5m,328311319808608.3
2024-12-04 08:10:00,5hWP5LAkB2FWm5uJh4t4oER9F83QXXAuNWmW4jfS3bNT,3.940720121920457e-12,4.2771971767511345e-12,3.4450022966209216e-12,3.7511620714040265e-12,5m,1186155312525578.2
2024-12-04 08:15:00,5hWP5LAkB2FWm5uJh4t4oER9F83QXXAuNWmW4jfS3bNT,4.0235910753694214e-12,4.0235910753694214e-12,3.940720121920457e-12,3.940720121920457e-12,5m,13031919954779.36
2024-12-04 08:20:00,5hWP5LAkB2FWm5uJh4t4oER9F83QXXAuNWmW4jfS3bNT,3.111056436354217e-12,4.0235910753694214e-12,3.111056436354217e-12,4.0235910753694214e-12,5m,1194282629452522.5
2024-12-04 08:25:00,5hWP5LAkB2FWm5uJh4t4oER9F83QXXAuNWmW4jfS3bNT,3.846365909002479e-12,4.238733634353221e-12,3.111056436354217e-12,3.111056436354217e-12,5m,1120667398816414.4
2024-12-04 08:30:00,5hWP5LAkB2FWm5uJh4t4oER9F83QXXAuNWmW4jfS3bNT,3.718276142842668e-12,3.846365909002479e-12,2.816553015044198e-12,3.846365909002479e-12,5m,2006986198441383.0
2024-12-04 08:35:00,5hWP5LAkB2FWm5uJh4t4oER9F83QXXAuNWmW4jfS3bNT,4.170467852294018e-12,4.170467852294018e-12,3.718276142842668e-12,3.718276142842668e-12,5m,484987121018826.25
2024-12-04 08:40:00,5hWP5LAkB2FWm5uJh4t4oER9F83QXXAuNWmW4jfS3bNT,4.2328466100094256e-12,4.2328466100094256e-12,4.170467852294018e-12,4.170467852294018e-12,5m,13850123200692.76
