datetime,address,c,h,l,o,type,v
2024-11-11 14:00:00,FPKcUb2ujG5n3Dmy6HZ1ZJSvNszvmeL243655pqfomo,2.1813173668070138e-05,2.1813173668070138e-05,2.178105509703455e-05,2.178105509703455e-05,1m,428740.978761659
2024-11-11 14:01:00,FPKcUb2ujG5n3Dmy6HZ1ZJSvNszvmeL243655pqfomo,2.3988873696556463e-05,2.3988873696556463e-05,2.1813173668070138e-05,2.1813173668070138e-05,1m,48152550.61560402
2024-11-11 14:02:00,FPKcUb2ujG5n3Dmy6HZ1ZJSvNszvmeL243655pqfomo,2.969116960876032e-05,2.969116960876032e-05,2.3988873696556463e-05,2.3988873696556463e-05,1m,104526860.51728821
2024-11-11 14:03:00,FPKcUb2ujG5n3Dmy6HZ1ZJSvNszvmeL243655pqfomo,3.129514891270221e-05,3.129514891270221e-05,2.969116960876032e-05,2.969116960876032e-05,1m,20972176.10013307
2024-11-11 14:04:00,FPKcUb2ujG5n3Dmy6HZ1ZJSvNszvmeL243655pqfomo,3.129514891270221e-05,3.129514891270221e-05,3.129514891270221e-05,3.129514891270221e-05,1m,0.0
2024-11-11 14:05:00,FPKcUb2ujG5n3Dmy6HZ1ZJSvNszvmeL243655pqfomo,3.207337531658989e-05,3.221086692925549e-05,3.129514891270221e-05,3.129514891270221e-05,1m,443935.87071306
2024-11-11 14:06:00,FPKcUb2ujG5n3Dmy6HZ1ZJSvNszvmeL243655pqfomo,3.207337531658989e-05,3.207337531658989e-05,3.207337531658989e-05,3.207337531658989e-05,1m,0.0
2024-11-11 14:07:00,FPKcUb2ujG5n3Dmy6HZ1ZJSvNszvmeL243655pqfomo,3.207337531658989e-05,3.207337531658989e-05,3.207337531658989e-05,3.207337531658989e-05,1m,0.0
2024-11-11 14:08:00,FPKcUb2ujG5n3Dmy6HZ1ZJSvNszvmeL243655pqfomo,3.2023458451382415e-05,3.207337531658989e-05,3.2023458451382415e-05,3.207337531658989e-05,1m,614094.661043266
2024-11-11 14:09:00,FPKcUb2ujG5n3Dmy6HZ1ZJSvNszvmeL243655pqfomo,3.2023458451382415e-05,3.2023458451382415e-05,3.2023458451382415e-05,3.2023458451382415e-05,1m,0.0
