datetime,address,c,h,l,o,type,v
2024-10-22 18:24:00,TrUPjEqGpUph6sMJX8C3yYja9u4RcVUGTCkGG4xLrjG,0.0003544800317178201,0.0003544800317178201,5.067588619563298e-06,5.067588619563298e-06,3m,1136077277.008732
2024-10-22 18:27:00,TrUPjEqGpUph6sMJX8C3yYja9u4RcVUGTCkGG4xLrjG,0.0003048300769565015,0.0004894202390918826,0.00011440576022752436,0.0003544800317178201,3m,1303897381.2893324
2024-10-22 18:30:00,TrUPjEqGpUph6sMJX8C3yYja9u4RcVUGTCkGG4xLrjG,0.00045985932630857105,0.0005108810914011714,0.00022177494655543882,0.0003048300769565015,3m,287159191.2853874
2024-10-22 18:33:00,TrUPjEqGpUph6sMJX8C3yYja9u4RcVUGTCkGG4xLrjG,0.000364705738452922,0.00045985932630857105,0.0003037486619413952,0.00045985932630857105,3m,146961825.42501003
2024-10-22 18:36:00,TrUPjEqGpUph6sMJX8C3yYja9u4RcVUGTCkGG4xLrjG,0.00041852263270165653,0.0015189376638048036,0.0003458025045826226,0.000364705738452922,3m,187197562.32668015
2024-10-22 18:39:00,TrUPjEqGpUph6sMJX8C3yYja9u4RcVUGTCkGG4xLrjG,0.0004907622901540525,0.0004966471416723128,0.0004064381345972942,0.00041852263270165653,3m,94842296.15816106
2024-10-22 18:42:00,TrUPjEqGpUph6sMJX8C3yYja9u4RcVUGTCkGG4xLrjG,0.0005742148175973872,0.0005778206334443318,0.0004878979920553853,0.0004907622901540525,3m,65420658.58766381
2024-10-22 18:45:00,TrUPjEqGpUph6sMJX8C3yYja9u4RcVUGTCkGG4xLrjG,0.0005633237006864128,0.0006720348604634064,0.0003831562247030815,0.0005742148175973872,3m,236168102.9437984
2024-10-22 18:48:00,TrUPjEqGpUph6sMJX8C3yYja9u4RcVUGTCkGG4xLrjG,0.0005958770513517993,0.0006800305935413698,0.0005084333277422082,0.0005633237006864128,3m,189301034.29682514
2024-10-22 18:51:00,TrUPjEqGpUph6sMJX8C3yYja9u4RcVUGTCkGG4xLrjG,0.0005779006234926715,0.0006006209418955069,0.0005455335476358766,0.0005958770513517993,3m,168519830.51236886
2024-10-22 18:54:00,TrUPjEqGpUph6sMJX8C3yYja9u4RcVUGTCkGG4xLrjG,0.000612040792114371,0.0007412029247652833,0.0005349252032934908,0.0005779006234926715,3m,213903539.86894295
2024-10-22 18:57:00,TrUPjEqGpUph6sMJX8C3yYja9u4RcVUGTCkGG4xLrjG,0.0006371607039650059,0.0007015791000322446,0.0005596521818673038,0.000612040792114371,3m,188234007.73534837
2024-10-22 19:00:00,TrUPjEqGpUph6sMJX8C3yYja9u4RcVUGTCkGG4xLrjG,0.000594511571859261,0.0006579768559965645,0.0005740146448233944,0.0006371607039650059,3m,163258918.7030732
2024-10-22 19:03:00,TrUPjEqGpUph6sMJX8C3yYja9u4RcVUGTCkGG4xLrjG,0.0005454631186585894,0.0006119155165133269,0.0005415091588197701,0.000594511571859261,3m,89656802.71209969
2024-10-22 19:06:00,TrUPjEqGpUph6sMJX8C3yYja9u4RcVUGTCkGG4xLrjG,0.0005459584202699604,0.0005582534352494108,0.0005231960706324021,0.0005454631186585894,3m,28120251.938751046
