datetime,address,c,h,l,o,type,v
2024-10-22 16:15:00,FWpRxuLDW65MJTmX8VSUq3RuSQvYsz51rp8npCDP7qdJ,3.4872363820147456e-12,3.6850099630152215e-12,1.5606958598747426e-12,1.6749078003994036e-12,15m,1.1644705384889126e+16
2024-10-22 16:30:00,FWpRxuLDW65MJTmX8VSUq3RuSQvYsz51rp8npCDP7qdJ,6.626450602691164e-12,8.29487056080732e-12,3.411069663803464e-12,3.4872363820147456e-12,15m,3415401567880231.5
2024-10-22 16:45:00,FWpRxuLDW65MJTmX8VSUq3RuSQvYsz51rp8npCDP7qdJ,6.404253442011228e-12,6.9618956107567624e-12,6.339589456233647e-12,6.626450602691164e-12,15m,482507751745959.2
2024-10-22 17:00:00,FWpRxuLDW65MJTmX8VSUq3RuSQvYsz51rp8npCDP7qdJ,6.914937911058916e-12,7.178001102219775e-12,6.393783908642602e-12,6.404253442011228e-12,15m,401753946399326.75
2024-10-22 17:15:00,FWpRxuLDW65MJTmX8VSUq3RuSQvYsz51rp8npCDP7qdJ,6.3772760135779446e-12,7.0008141839114566e-12,6.159979179242863e-12,6.914937911058916e-12,15m,427307853624837.06
2024-10-22 17:30:00,FWpRxuLDW65MJTmX8VSUq3RuSQvYsz51rp8npCDP7qdJ,5.839082493510677e-12,7.484386241928123e-12,5.839082493510677e-12,6.3772760135779446e-12,15m,1897150526798582.2
2024-10-22 17:45:00,FWpRxuLDW65MJTmX8VSUq3RuSQvYsz51rp8npCDP7qdJ,6.903486522933714e-12,6.903486522933714e-12,5.82861046725537e-12,5.839082493510677e-12,15m,796602966489460.8
2024-10-22 18:00:00,FWpRxuLDW65MJTmX8VSUq3RuSQvYsz51rp8npCDP7qdJ,6.760606037972427e-12,7.01654027528037e-12,6.655514483825775e-12,6.903486522933714e-12,15m,206061791178867.7
2024-10-22 18:15:00,FWpRxuLDW65MJTmX8VSUq3RuSQvYsz51rp8npCDP7qdJ,6.990010905550387e-12,7.104431757993347e-12,6.741208341462357e-12,6.760606037972427e-12,15m,443330204295854.9
2024-10-22 18:30:00,FWpRxuLDW65MJTmX8VSUq3RuSQvYsz51rp8npCDP7qdJ,6.109681330174507e-12,7.633677126497602e-12,5.9951751335408615e-12,6.990010905550387e-12,15m,929281748260767.2
2024-10-22 18:45:00,FWpRxuLDW65MJTmX8VSUq3RuSQvYsz51rp8npCDP7qdJ,6.064509705571019e-12,6.450344871767994e-12,6.063497367931286e-12,6.109681330174507e-12,15m,479931138227676.06
2024-10-22 19:00:00,FWpRxuLDW65MJTmX8VSUq3RuSQvYsz51rp8npCDP7qdJ,6.257227537782885e-12,6.2590280778969795e-12,6.026745642989993e-12,6.064509705571019e-12,15m,100537650843654.83
2024-10-22 19:15:00,FWpRxuLDW65MJTmX8VSUq3RuSQvYsz51rp8npCDP7qdJ,4.980860326734537e-12,6.257227537782885e-12,4.928742332471041e-12,6.257227537782885e-12,15m,826882002320900.4
2024-10-22 19:30:00,FWpRxuLDW65MJTmX8VSUq3RuSQvYsz51rp8npCDP7qdJ,5.391696582006685e-12,5.391696582006685e-12,4.980860326734537e-12,4.980860326734537e-12,15m,283147324693850.94
2024-10-22 19:45:00,FWpRxuLDW65MJTmX8VSUq3RuSQvYsz51rp8npCDP7qdJ,4.081838083932685e-12,5.407810569605226e-12,3.874570601104413e-12,5.391696582006685e-12,15m,2447628121400410.5
2024-10-22 20:00:00,FWpRxuLDW65MJTmX8VSUq3RuSQvYsz51rp8npCDP7qdJ,4.833903074359291e-12,4.833903074359291e-12,4.0608634957814566e-12,4.081838083932685e-12,15m,769931204673897.5
2024-10-22 20:15:00,FWpRxuLDW65MJTmX8VSUq3RuSQvYsz51rp8npCDP7qdJ,4.6031487959802576e-12,4.833903074359291e-12,4.563231428531434e-12,4.833903074359291e-12,15m,194342079718942.9
2024-10-22 20:30:00,FWpRxuLDW65MJTmX8VSUq3RuSQvYsz51rp8npCDP7qdJ,4.6292021352580826e-12,4.6661112287692e-12,4.6031487959802576e-12,4.6031487959802576e-12,15m,41230928711313.984
2024-10-22 20:45:00,FWpRxuLDW65MJTmX8VSUq3RuSQvYsz51rp8npCDP7qdJ,6.346757697785153e-12,7.117140508983568e-12,4.6292021352580826e-12,4.6292021352580826e-12,15m,1852849764327526.0
2024-10-22 21:00:00,FWpRxuLDW65MJTmX8VSUq3RuSQvYsz51rp8npCDP7qdJ,6.806372760241603e-12,7.2057404537350616e-12,6.284114222818079e-12,6.346757697785153e-12,15m,1175221683892642.5
2024-10-22 21:15:00,FWpRxuLDW65MJTmX8VSUq3RuSQvYsz51rp8npCDP7qdJ,6.4069187420462775e-12,6.806372760241603e-12,5.432449298516897e-12,6.806372760241603e-12,15m,824300273275197.5
2024-10-22 21:30:00,FWpRxuLDW65MJTmX8VSUq3RuSQvYsz51rp8npCDP7qdJ,8.556797647427591e-12,8.630221269650307e-12,6.36752828794879e-12,6.4069187420462775e-12,15m,1071604010682118.4
