datetime,address,c,h,l,o,type,v
2024-11-06 00:30:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.004903076764016863,0.007257809567206588,0.004122357239298039,0.005262928905481249,15m,228297692.52019718
2024-11-06 00:45:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.005114557338293179,0.009407678247708124,0.0039031666971884585,0.004903076764016863,15m,42228565.49571416
2024-11-06 01:00:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.007733251568669642,0.008803039619985862,0.00431271476069762,0.005114557338293179,15m,45849039.966626756
2024-11-06 01:15:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.007373148156317298,0.00971652614978871,0.0036166502855036154,0.007733251568669642,15m,24350575.246656552
2024-11-06 01:30:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.00542047725294967,0.008278463323224046,0.004402329596933038,0.007373148156317298,15m,31574382.262085397
2024-11-06 01:45:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.00656844731958593,0.008584000319309282,0.0047380639717559195,0.00542047725294967,15m,42194755.02539025
2024-11-06 02:00:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.006493797244349529,0.010530963256973945,0.006066533937897116,0.00656844731958593,15m,32237647.915010996
2024-11-06 02:15:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.005688651130431636,0.00908036658078001,0.004365333169521346,0.006493797244349529,15m,28197992.291949287
2024-11-06 02:30:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.005649183815281808,0.008856270536621023,0.0039724753410066965,0.005688651130431636,15m,15423698.883974615
2024-11-06 02:45:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.005387857948531456,0.007007940859429678,0.0030708156306157386,0.005649183815281808,15m,24851602.94594321
2024-11-06 03:00:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.0037656042384735197,0.00678434336869067,0.0037468657591875733,0.005387857948531456,15m,5016617.703136886
2024-11-06 03:15:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.002410195673138473,0.0037656042384735197,0.002410195673138473,0.0037656042384735197,15m,904906.6736924461
2024-11-06 03:30:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.0017631472491512104,0.002410195673138473,0.0017631472491512104,0.002410195673138473,15m,801384.5757071787
2024-11-06 03:45:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.0030778824657633117,0.003778359839758883,0.0016722690087762843,0.0017631472491512104,15m,5196800.155170697
2024-11-06 04:00:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.003581806022164487,0.003581806022164487,0.002080186597366003,0.0030778824657633117,15m,2421328.6000831584
2024-11-06 04:15:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.0036486358078184834,0.0036486358078184834,0.003581806022164487,0.003581806022164487,15m,417.107721337
2024-11-06 04:30:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.0036486358078184834,0.0036486358078184834,0.0036486358078184834,0.0036486358078184834,15m,0.0
2024-11-06 04:45:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.003709506117786296,0.003709506117786296,0.0036486358078184834,0.0036486358078184834,15m,10480.180831647998
2024-11-06 05:00:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.003709506117786296,0.003709506117786296,0.003709506117786296,0.003709506117786296,15m,0.0
2024-11-06 05:15:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.003709506117786296,0.003709506117786296,0.003709506117786296,0.003709506117786296,15m,0.0
2024-11-06 05:30:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.003676610958330091,0.003709506117786296,0.003676610958330091,0.003709506117786296,15m,698.185801644
2024-11-06 05:45:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.003676610958330091,0.003676610958330091,0.003676610958330091,0.003676610958330091,15m,0.0
2024-11-06 06:00:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.003676610958330091,0.003676610958330091,0.003676610958330091,0.003676610958330091,15m,0.0
2024-11-06 06:15:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.003676610958330091,0.003676610958330091,0.003676610958330091,0.003676610958330091,15m,0.0
2024-11-06 06:30:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.003676610958330091,0.003676610958330091,0.003676610958330091,0.003676610958330091,15m,0.0
2024-11-06 06:45:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.003676610958330091,0.003676610958330091,0.003676610958330091,0.003676610958330091,15m,0.0
2024-11-06 07:00:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.003676610958330091,0.003676610958330091,0.003676610958330091,0.003676610958330091,15m,0.0
2024-11-06 07:15:00,6dcUiKM18eEjezLRQCoPGZL6E18YiV3i15wDtv4kPumP,0.0038370881409079093,0.0038520090040265404,0.003676610958330091,0.003676610958330091,15m,160283.07053746202
