datetime,address,c,h,l,o,type,v
2024-11-09 15:00:00,EtP8zXAULpc8u9f1fFYiqrnpKRznnrV4sFhUbsEjdx3B,0.0051139755254739116,0.005122248499742474,0.00013855202819315922,0.00013855202819315922,15m,556451389.4531837
2024-11-09 15:15:00,EtP8zXAULpc8u9f1fFYiqrnpKRznnrV4sFhUbsEjdx3B,0.007002206204642869,0.007387172894002315,0.005040499986771718,0.0051139755254739116,15m,131910426.07917054
2024-11-09 15:30:00,EtP8zXAULpc8u9f1fFYiqrnpKRznnrV4sFhUbsEjdx3B,0.006603818760685969,0.007109061271513583,0.006395283944268224,0.007002206204642869,15m,121562480.42237991
2024-11-09 15:45:00,EtP8zXAULpc8u9f1fFYiqrnpKRznnrV4sFhUbsEjdx3B,0.007546732594180144,0.009261820660775964,0.0061669304565405815,0.006603818760685969,15m,125640811.7467541
2024-11-09 16:00:00,EtP8zXAULpc8u9f1fFYiqrnpKRznnrV4sFhUbsEjdx3B,0.007447060152155994,0.009557494550432595,0.004487958516273946,0.007546732594180144,15m,148196494.55148107
2024-11-09 16:15:00,EtP8zXAULpc8u9f1fFYiqrnpKRznnrV4sFhUbsEjdx3B,0.007433985388845138,0.007733132511775989,0.006955734532360683,0.007447060152155994,15m,108666044.18960254
2024-11-09 16:30:00,EtP8zXAULpc8u9f1fFYiqrnpKRznnrV4sFhUbsEjdx3B,0.004036799765628719,0.007950686485184563,0.003130249924399681,0.007433985388845138,15m,213107336.43915138
2024-11-09 16:45:00,EtP8zXAULpc8u9f1fFYiqrnpKRznnrV4sFhUbsEjdx3B,0.0056508588499088845,0.005939458363127887,0.0037916396651023155,0.004036799765628719,15m,233488200.08452848
2024-11-09 17:00:00,EtP8zXAULpc8u9f1fFYiqrnpKRznnrV4sFhUbsEjdx3B,0.005830426490846749,0.006488346300510577,0.005126434066033963,0.0056508588499088845,15m,143413824.64602816
2024-11-09 17:15:00,EtP8zXAULpc8u9f1fFYiqrnpKRznnrV4sFhUbsEjdx3B,0.005301855047411269,0.0067853813046205224,0.004977342780485006,0.005830426490846749,15m,152638397.8404249
2024-11-09 17:30:00,EtP8zXAULpc8u9f1fFYiqrnpKRznnrV4sFhUbsEjdx3B,0.005492710394044806,0.005498816075293406,0.005131739156348656,0.005301855047411269,15m,35296949.422918186
2024-11-09 17:45:00,EtP8zXAULpc8u9f1fFYiqrnpKRznnrV4sFhUbsEjdx3B,0.0059876142390018,0.006756363485874133,0.0053089299052391705,0.005492710394044806,15m,135669762.46969193
2024-11-09 18:00:00,EtP8zXAULpc8u9f1fFYiqrnpKRznnrV4sFhUbsEjdx3B,0.005173004514347202,0.007281597156486597,0.005039581104960239,0.0059876142390018,15m,154714468.7781074
2024-11-09 18:15:00,EtP8zXAULpc8u9f1fFYiqrnpKRznnrV4sFhUbsEjdx3B,0.005300894057653877,0.005695060947521676,0.0045502114689609015,0.005173004514347202,15m,168447760.0739033
2024-11-09 18:30:00,EtP8zXAULpc8u9f1fFYiqrnpKRznnrV4sFhUbsEjdx3B,0.005418292055034942,0.0059233198686346415,0.0049248397155832,0.005300894057653877,15m,164609976.67227247
2024-11-09 18:45:00,EtP8zXAULpc8u9f1fFYiqrnpKRznnrV4sFhUbsEjdx3B,0.0045786525505579125,0.005988069853976238,0.004299827070616505,0.005418292055034942,15m,141166558.15410703
2024-11-09 19:00:00,EtP8zXAULpc8u9f1fFYiqrnpKRznnrV4sFhUbsEjdx3B,0.0031832342727014166,0.004907634661088192,0.0030966977374616007,0.0045786525505579125,15m,207110360.47560364
2024-11-09 19:15:00,EtP8zXAULpc8u9f1fFYiqrnpKRznnrV4sFhUbsEjdx3B,0.0024676797038497554,0.003260008438037451,0.0019451456165843093,0.0031832342727014166,15m,344827261.37682617
2024-11-09 19:30:00,EtP8zXAULpc8u9f1fFYiqrnpKRznnrV4sFhUbsEjdx3B,0.0024368128897102126,0.0025218140428117553,0.0023952686538599357,0.0024676797038497554,15m,14359519.585447725
