datetime,address,c,h,l,o,type,v
2024-11-12 18:50:00,9KinN5H8VwfKMPJc4JyuQqYn3Yf7ha3vCbPtVtNFpump,0.0001341331956255119,0.00020809100607407553,5.814155268239583e-05,9.186914577126969e-05,5m,2044622730.0302722
2024-11-12 18:55:00,9KinN5H8VwfKMPJc4JyuQqYn3Yf7ha3vCbPtVtNFpump,9.228656989747425e-05,0.00021082862506611314,7.611221821986293e-05,0.0001341331956255119,5m,955455144.1349113
2024-11-12 19:00:00,9KinN5H8VwfKMPJc4JyuQqYn3Yf7ha3vCbPtVtNFpump,0.0002773304558164968,0.0005043446314250944,9.228656989747425e-05,9.228656989747425e-05,5m,828018405.5043683
2024-11-12 19:05:00,9KinN5H8VwfKMPJc4JyuQqYn3Yf7ha3vCbPtVtNFpump,0.0002547251274495545,0.00034444987540220784,0.0001564845425010969,0.0002773304558164968,5m,830700417.3690277
2024-11-12 19:10:00,9KinN5H8VwfKMPJc4JyuQqYn3Yf7ha3vCbPtVtNFpump,0.0004022544571964152,0.0007873745646522563,0.00024326128926508518,0.0002547251274495545,5m,599335556.1552182
2024-11-12 19:15:00,9KinN5H8VwfKMPJc4JyuQqYn3Yf7ha3vCbPtVtNFpump,0.00037694433606385566,0.0005905601342183881,0.0002885989999900076,0.0004022544571964152,5m,449483738.42274666
2024-11-12 19:20:00,9KinN5H8VwfKMPJc4JyuQqYn3Yf7ha3vCbPtVtNFpump,0.0003953222884382271,0.0004236319840751769,0.00023772021323938003,0.00037694433606385566,5m,462397227.86855227
2024-11-12 19:25:00,9KinN5H8VwfKMPJc4JyuQqYn3Yf7ha3vCbPtVtNFpump,0.00020071408664162554,0.0004002946223054376,0.0001764700807174216,0.0003953222884382271,5m,628467130.0572886
2024-11-12 19:30:00,9KinN5H8VwfKMPJc4JyuQqYn3Yf7ha3vCbPtVtNFpump,0.0001376174291978713,0.00020071408664162554,0.0001188189188663216,0.00020071408664162554,5m,477390819.4343812
2024-11-12 19:35:00,9KinN5H8VwfKMPJc4JyuQqYn3Yf7ha3vCbPtVtNFpump,0.0001631260424867813,0.0002599636691287003,0.0001376174291978713,0.0001376174291978713,5m,467321881.9011809
2024-11-12 19:40:00,9KinN5H8VwfKMPJc4JyuQqYn3Yf7ha3vCbPtVtNFpump,0.0003301997824194818,0.00043140904346998467,0.00015666985546477396,0.0001631260424867813,5m,350094661.22784936
2024-11-12 19:45:00,9KinN5H8VwfKMPJc4JyuQqYn3Yf7ha3vCbPtVtNFpump,0.0003266584880788145,0.00045607542722099443,0.0003173354115481281,0.0003301997824194818,5m,219890726.1513291
2024-11-12 19:50:00,9KinN5H8VwfKMPJc4JyuQqYn3Yf7ha3vCbPtVtNFpump,0.0005435390404117303,0.0006737307211418046,0.00027662618856071373,0.0003266584880788145,5m,181699828.1834771
2024-11-12 19:55:00,9KinN5H8VwfKMPJc4JyuQqYn3Yf7ha3vCbPtVtNFpump,0.0005134790438512573,0.0007925678543608726,0.0004488002764301052,0.0005435390404117303,5m,249511432.13487497
2024-11-12 20:00:00,9KinN5H8VwfKMPJc4JyuQqYn3Yf7ha3vCbPtVtNFpump,0.0007596133879047398,0.0009560340056694842,0.0004035754264007179,0.0005134790438512573,5m,319405412.55412406
2024-11-12 20:05:00,9KinN5H8VwfKMPJc4JyuQqYn3Yf7ha3vCbPtVtNFpump,0.0009940987983503653,0.0013337773830028737,0.000618970132098221,0.0007596133879047398,5m,257366344.77114707
2024-11-12 20:10:00,9KinN5H8VwfKMPJc4JyuQqYn3Yf7ha3vCbPtVtNFpump,0.0011923232819305773,0.001347068844720879,0.000833172350126705,0.0009940987983503653,5m,149974077.40491906
2024-11-12 20:15:00,9KinN5H8VwfKMPJc4JyuQqYn3Yf7ha3vCbPtVtNFpump,0.0010484282545888176,0.0012099102360568481,0.0008096642107301954,0.0011923232819305773,5m,186916668.29302493
2024-11-12 20:20:00,9KinN5H8VwfKMPJc4JyuQqYn3Yf7ha3vCbPtVtNFpump,0.000919910715957777,0.001224424488394978,0.0008021438319515408,0.0010484282545888176,5m,96092352.46080302
2024-11-12 20:25:00,9KinN5H8VwfKMPJc4JyuQqYn3Yf7ha3vCbPtVtNFpump,0.0007847246290869904,0.001069687403985197,0.0006946368519367039,0.000919910715957777,5m,143753966.20813593
2024-11-12 20:30:00,9KinN5H8VwfKMPJc4JyuQqYn3Yf7ha3vCbPtVtNFpump,0.0006744668211868761,0.0008495454996791453,0.0006744668211868761,0.0007847246290869904,5m,75998654.55947699
2024-11-12 20:35:00,9KinN5H8VwfKMPJc4JyuQqYn3Yf7ha3vCbPtVtNFpump,0.0005131134754581641,0.0007288048170948727,0.0004787104040100711,0.0006744668211868761,5m,232261183.0510249
2024-11-12 20:40:00,9KinN5H8VwfKMPJc4JyuQqYn3Yf7ha3vCbPtVtNFpump,0.0005515777673569344,0.0005682685797663687,0.00040174194180641823,0.0005131134754581641,5m,155251854.9325911
2024-11-12 20:45:00,9KinN5H8VwfKMPJc4JyuQqYn3Yf7ha3vCbPtVtNFpump,0.0003315004393897669,0.0005548844439643713,0.00025116617216506946,0.0005515777673569344,5m,425102520.5109368
