datetime,address,c,h,l,o,type,v
2024-11-07 17:30:00,BzfnpHJLJH7amkwB1VTph4MGTxnjdGcmFkw8AJW2pump,9.030708436987163e-05,0.0007475244371864991,5.4824685199149666e-05,7.507075058963341e-05,15m,7529851358.171899
2024-11-07 17:45:00,BzfnpHJLJH7amkwB1VTph4MGTxnjdGcmFkw8AJW2pump,2.6067191065797078e-05,0.00027809415869413525,2.3172438119654963e-05,9.030708436987163e-05,15m,3091208504.4517
2024-11-07 18:00:00,BzfnpHJLJH7amkwB1VTph4MGTxnjdGcmFkw8AJW2pump,8.998364355808272e-05,0.00015249653823364793,1.882211653055629e-05,2.6067191065797078e-05,15m,1321948933.6874518
2024-11-07 18:15:00,BzfnpHJLJH7amkwB1VTph4MGTxnjdGcmFkw8AJW2pump,3.995237741062239e-05,0.00010118644190562198,3.283671008137357e-05,8.998364355808272e-05,15m,1152540201.604767
2024-11-07 18:30:00,BzfnpHJLJH7amkwB1VTph4MGTxnjdGcmFkw8AJW2pump,7.503005204995794e-05,0.00010241707762742745,3.905824189337033e-05,3.995237741062239e-05,15m,741029054.9542675
2024-11-07 18:45:00,BzfnpHJLJH7amkwB1VTph4MGTxnjdGcmFkw8AJW2pump,0.00013362975109448028,0.000135920012328769,6.183924013904374e-05,7.503005204995794e-05,15m,434134672.00359625
2024-11-07 19:00:00,BzfnpHJLJH7amkwB1VTph4MGTxnjdGcmFkw8AJW2pump,0.00027931126494779365,0.0003019202254181923,0.00010642697880526651,0.00013362975109448028,15m,508665346.4630849
2024-11-07 19:15:00,BzfnpHJLJH7amkwB1VTph4MGTxnjdGcmFkw8AJW2pump,0.00011383288282925885,0.00030680707565348123,8.980302586598381e-05,0.00027931126494779365,15m,947730681.504399
2024-11-07 19:30:00,BzfnpHJLJH7amkwB1VTph4MGTxnjdGcmFkw8AJW2pump,5.794786213041267e-05,0.0001286603484706516,5.380613078027787e-05,0.00011383288282925885,15m,545108536.5321733
2024-11-07 19:45:00,BzfnpHJLJH7amkwB1VTph4MGTxnjdGcmFkw8AJW2pump,2.499261606411758e-05,7.588925346214203e-05,2.499261606411758e-05,5.794786213041267e-05,15m,716639822.8850957
2024-11-07 20:00:00,BzfnpHJLJH7amkwB1VTph4MGTxnjdGcmFkw8AJW2pump,3.843455927351018e-05,5.3827022675617783e-05,2.3941439062971974e-05,2.499261606411758e-05,15m,594983421.2679213
2024-11-07 20:15:00,BzfnpHJLJH7amkwB1VTph4MGTxnjdGcmFkw8AJW2pump,3.4797643516399326e-05,4.550507700264968e-05,3.4797643516399326e-05,3.843455927351018e-05,15m,91391620.83927703
2024-11-07 20:30:00,BzfnpHJLJH7amkwB1VTph4MGTxnjdGcmFkw8AJW2pump,0.0001901380091578535,0.000376847846660272,3.4797643516399326e-05,3.4797643516399326e-05,15m,1396297464.8671646
2024-11-07 20:45:00,BzfnpHJLJH7amkwB1VTph4MGTxnjdGcmFkw8AJW2pump,0.0002017363292265593,0.00025572524849373757,0.00018392560022368094,0.0001901380091578535,15m,181140491.7657411
