datetime,address,c,h,l,o,type,v
2024-10-29 14:35:00,7g2ZGGLHYFPVktCLSRe8RE9bWHoHzEc5zHUZLLnu5RXZ,2.84951352249621e-05,2.84951352249621e-05,2.769937570682242e-05,2.769937570682242e-05,5m,64036940.74112574
2024-10-29 14:40:00,7g2ZGGLHYFPVktCLSRe8RE9bWHoHzEc5zHUZLLnu5RXZ,3.0114780164831267e-05,3.0114780164831267e-05,2.84951352249621e-05,2.84951352249621e-05,5m,69226728.12529686
2024-10-29 14:45:00,7g2ZGGLHYFPVktCLSRe8RE9bWHoHzEc5zHUZLLnu5RXZ,3.1954099861602886e-05,3.1954099861602886e-05,3.0114780164831267e-05,3.0114780164831267e-05,5m,72771691.79385716
2024-10-29 14:50:00,7g2ZGGLHYFPVktCLSRe8RE9bWHoHzEc5zHUZLLnu5RXZ,3.294685850389204e-05,3.294685850389204e-05,3.1954099861602886e-05,3.1954099861602886e-05,5m,35897873.09628018
2024-10-29 14:55:00,7g2ZGGLHYFPVktCLSRe8RE9bWHoHzEc5zHUZLLnu5RXZ,3.411770043568943e-05,3.411770043568943e-05,3.294685850389204e-05,3.294685850389204e-05,5m,41725237.03384599
2024-10-29 15:00:00,7g2ZGGLHYFPVktCLSRe8RE9bWHoHzEc5zHUZLLnu5RXZ,3.5292671290666467e-05,3.5292671290666467e-05,3.411770043568943e-05,3.411770043568943e-05,5m,38735482.92192444
2024-10-29 15:05:00,7g2ZGGLHYFPVktCLSRe8RE9bWHoHzEc5zHUZLLnu5RXZ,3.630077436469994e-05,3.630077436469994e-05,3.5292671290666467e-05,3.5292671290666467e-05,5m,35511461.667927995
2024-10-29 15:10:00,7g2ZGGLHYFPVktCLSRe8RE9bWHoHzEc5zHUZLLnu5RXZ,3.767899091509933e-05,3.767899091509933e-05,3.630077436469994e-05,3.630077436469994e-05,5m,37762429.783860706
2024-10-29 15:15:00,7g2ZGGLHYFPVktCLSRe8RE9bWHoHzEc5zHUZLLnu5RXZ,3.9234429993358056e-05,3.9234429993358056e-05,3.767899091509933e-05,3.767899091509933e-05,5m,46609780.1064365
2024-10-29 15:20:00,7g2ZGGLHYFPVktCLSRe8RE9bWHoHzEc5zHUZLLnu5RXZ,4.07753119007071e-05,4.07753119007071e-05,3.9234429993358056e-05,3.9234429993358056e-05,5m,39301260.24948108
2024-10-29 15:25:00,7g2ZGGLHYFPVktCLSRe8RE9bWHoHzEc5zHUZLLnu5RXZ,4.2439564790425215e-05,4.2439564790425215e-05,4.07753119007071e-05,4.07753119007071e-05,5m,44381528.282345586
2024-10-29 15:30:00,7g2ZGGLHYFPVktCLSRe8RE9bWHoHzEc5zHUZLLnu5RXZ,4.4433678443444504e-05,4.4433678443444504e-05,4.2439564790425215e-05,4.2439564790425215e-05,5m,50645641.56435655
2024-10-29 15:35:00,7g2ZGGLHYFPVktCLSRe8RE9bWHoHzEc5zHUZLLnu5RXZ,4.653256207356589e-05,4.653256207356589e-05,4.4433678443444504e-05,4.4433678443444504e-05,5m,45372420.715168476
2024-10-29 15:40:00,7g2ZGGLHYFPVktCLSRe8RE9bWHoHzEc5zHUZLLnu5RXZ,4.877915183224564e-05,4.877915183224564e-05,4.653256207356589e-05,4.653256207356589e-05,5m,42120487.55693088
